商品标题,规格,商品价格,平台,日期,对照标题,对照价格,对照平台,对照日期,对照规格,干净标题,干净规格,干净价格,干净平台,干净日期,价格质量标记,日期质量标记,未知平台标志,规格质量标记
[广誉远]定坤丹 6丸/盒 官方旗舰店,6丸/盒,￥59.59,京东自营,2026/3/19,[广誉远]定坤丹 6丸/盒 官方旗舰店,￥59.59,京东自营,2026/3/19,6丸/盒,[广誉远]定坤丹 6丸/盒,6丸/盒,59.59,京东,2026-03-19 00:00:00,False,False,False,False
广誉远定坤丹 六丸装 正品保障,6丸/盒,到手价59.0元,JD,2026年3月20日,广誉远定坤丹 六丸装 正品保障,到手价59.0元,JD,2026年3月20日,6丸/盒,广誉远定坤丹 六丸装,6丸/盒,59.0,京东,2026-03-20 00:00:00,False,False,False,False
广誉远 定坤丹 6丸/盒 限时秒杀,6丸/盒,57.82,淘宝,3月21日,广誉远 定坤丹 6丸/盒 限时秒杀,57.82,淘宝,3月21日,6丸/盒,广誉远 定坤丹 6丸/盒,6丸/盒,57.82,淘宝,2026-03-21 00:00:00,False,False,False,False
广誉远 定坤丹 6丸盒装,6丸/盒,现价60.2元,天猫,2026/3/22 10:30,广誉远 定坤丹 6丸盒装,现价60.2元,天猫,2026/3/22 10:30,6丸/盒,广誉远 定坤丹 6丸盒装,6丸/盒,60.2,淘宝,2026-03-22 10:30:00,False,False,False,False
广誉远 定坤丹 6丸/盒,6丸/盒,券后57.2元,TB,2026/3/23 9:15,广誉远 定坤丹 6丸/盒,券后57.2元,TB,2026/3/23 9:15,6丸/盒,广誉远 定坤丹 6丸/盒,6丸/盒,57.2,淘宝,2026-03-23 09:15:00,False,False,False,False
广誉远 定坤丹 6丸/盒 到手价39.9元,6丸/盒,,拼多多,2026/3/24,广誉远 定坤丹 6丸/盒 到手价39.9元,,拼多多,2026/3/24,6丸/盒,广誉远 定坤丹 6丸/盒 到手价39.9元,6丸/盒,39.9,拼多多,2026-03-24 00:00:00,False,False,False,False
广誉远定坤丹 六丸装 正品保障,6丸/盒,￥40.12,PDD,2026年3月25日,广誉远定坤丹 六丸装 正品保障,￥40.12,PDD,2026年3月25日,6丸/盒,广誉远定坤丹 六丸装,6丸/盒,40.12,拼多多,2026-03-25 00:00:00,False,False,False,False
广誉远 定坤丹 6丸/盒 限时秒杀,6丸/盒,44.2,拼夕夕,3月26日,广誉远 定坤丹 6丸/盒 限时秒杀,44.2,拼夕夕,3月26日,6丸/盒,广誉远 定坤丹 6丸/盒,6丸/盒,44.2,拼多多,2026-03-26 00:00:00,False,False,False,False
广誉远 定坤丹 6丸盒装,6丸/盒,售价59.0元,抖音,2026/3/27 18:20,广誉远 定坤丹 6丸盒装,售价59.0元,抖音,2026/3/27 18:20,6丸/盒,广誉远 定坤丹 6丸盒装,6丸/盒,59.0,抖音,2026-03-27 18:20:00,False,False,False,False
九芝堂 驴胶补血颗粒 30袋/盒,30袋/盒,33.0元,京东,2026/3/18,九芝堂 驴胶补血颗粒 30袋/盒,33.0元,京东,2026/3/18,30袋/盒,九芝堂 驴胶补血颗粒 30袋/盒,30袋/盒,33.0,京东,2026-03-18 00:00:00,False,False,False,False
[九芝堂]驴胶补血颗粒 30袋/盒 官方旗舰店,30袋/盒,￥32.32,京东自营,2026/3/19,[九芝堂]驴胶补血颗粒 30袋/盒 官方旗舰店,￥32.32,京东自营,2026/3/19,30袋/盒,[九芝堂]驴胶补血颗粒 30袋/盒,30袋/盒,32.32,京东,2026-03-19 00:00:00,False,False,False,False
九芝堂 驴胶补血颗粒 三十袋装,30袋/盒,到手价32.0元,JD,2026年3月20日,九芝堂 驴胶补血颗粒 三十袋装,到手价32.0元,JD,2026年3月20日,30袋/盒,九芝堂 驴胶补血颗粒 三十袋装,30袋/盒,32.0,京东,2026-03-20 00:00:00,False,False,False,False
九芝堂驴胶补血颗粒 30袋/盒 热卖爆款,30袋/盒,31.36,淘宝,3月21日,九芝堂驴胶补血颗粒 30袋/盒 热卖爆款,31.36,淘宝,3月21日,30袋/盒,九芝堂驴胶补血颗粒 30袋/盒,30袋/盒,31.36,淘宝,2026-03-21 00:00:00,False,False,False,False
九芝堂 驴胶补血颗粒 30 袋 / 盒,30袋/盒,现价32.6元,天猫,2026/3/22 10:30,九芝堂 驴胶补血颗粒 30 袋 / 盒,现价32.6元,天猫,2026/3/22 10:30,30袋/盒,九芝堂 驴胶补血颗粒 30 袋 / 盒,30袋/盒,32.6,淘宝,2026-03-22 10:30:00,False,False,False,False
九芝堂 驴胶补血颗粒 30袋/盒,30袋/盒,券后31.0元,TB,2026/3/23 9:15,九芝堂 驴胶补血颗粒 30袋/盒,券后31.0元,TB,2026/3/23 9:15,30袋/盒,九芝堂 驴胶补血颗粒 30袋/盒,30袋/盒,31.0,淘宝,2026-03-23 09:15:00,False,False,False,False
[九芝堂]驴胶补血颗粒 30袋/盒 官方旗舰店,30袋/盒,,拼多多,2026/3/24,[九芝堂]驴胶补血颗粒 30袋/盒 官方旗舰店,,拼多多,2026/3/24,30袋/盒,[九芝堂]驴胶补血颗粒 30袋/盒,30袋/盒,,拼多多,2026-03-24 00:00:00,True,False,False,False
九芝堂 驴胶补血颗粒 三十袋装,30袋/盒,￥21.76,PDD,2026年3月25日,九芝堂 驴胶补血颗粒 三十袋装,￥21.76,PDD,2026年3月25日,30袋/盒,九芝堂 驴胶补血颗粒 三十袋装,30袋/盒,21.76,拼多多,2026-03-25 00:00:00,False,False,False,False
九芝堂驴胶补血颗粒 30袋/盒 热卖爆款,30 袋 / 盒,24,拼夕夕,3月26日,九芝堂驴胶补血颗粒 30袋/盒 热卖爆款,24,拼夕夕,3月26日,30 袋 / 盒,九芝堂驴胶补血颗粒 30袋/盒,30袋/盒,24.0,拼多多,2026-03-26 00:00:00,False,False,False,False
九芝堂 驴胶补血颗粒 30 袋 / 盒,30袋/盒,售价32.0元,抖音,2026/3/27 18:20,九芝堂 驴胶补血颗粒 30 袋 / 盒,售价32.0元,抖音,2026/3/27 18:20,30袋/盒,九芝堂 驴胶补血颗粒 30 袋 / 盒,30袋/盒,32.0,抖音,2026-03-27 18:20:00,False,False,False,False
