商品标题,规格,商品价格,平台,日期,对照标题,对照价格,对照平台,对照日期,对照规格,干净标题,干净规格,干净价格,干净平台,干净日期,价格质量标记,日期质量标记,未知平台标志,规格质量标记,标准化品牌,标题规范提示,规范化规格,规范来源,标题规格不匹配标志,缺失品牌标志,缺少规范化规范标志,组内有效价格样本数,组内均价,组内最低价,组内最高价,当前价格/组均价比,跨平台价差比例,显式低价阈值,命中显式低价规则,命中统计低价规则,低价规则来源,是否疑似异常低价,是否跨平台价差异常,是否规格识别风险,是否存在任一异常,异常原因
[鸿茅]鸿茅药酒 500ml 1盒装 正品保障,500ml,498元,京东,2026/3/18,[鸿茅]鸿茅药酒 500ml 1盒装 正品保障,498元,京东,2026/3/18,500ml,[鸿茅]鸿茅药酒 500ml 1盒装,500ml,498.0,京东,2026-03-18 00:00:00,False,False,False,False,鸿茅,500ml,500ml,spec_column,False,False,False,8,393.7125,123.0,699.0,1.2648823697495,0.8240343347639485,180.0,False,False,,False,False,False,False,
鸿茅药酒 500 ML 官方旗舰店,500ml,￥150.00,京东自营,2026/3/19,鸿茅药酒 500 ML 官方旗舰店,￥150.00,京东自营,2026/3/19,500ml,鸿茅药酒 500 ML,500ml,150.0,京东,2026-03-19 00:00:00,False,False,False,False,鸿茅,500ml,500ml,spec_column,False,False,False,8,393.7125,123.0,699.0,0.3809886655871988,0.8240343347639485,180.0,True,True,both,True,False,False,True,疑似异常低价：同时命中显式阈值与统计规则，阈值<180.00，均价=393.71，当前/均价=0.38
鸿茅药酒500毫升 祛风除湿 补气通络,250ml,到手价298元,JD,2026年3月20日,鸿茅药酒500毫升 祛风除湿 补气通络,到手价298元,JD,2026年3月20日,250ml,鸿茅药酒500毫升 祛风除湿 补气通络,250ml,298.0,京东,2026-03-20 00:00:00,False,False,False,False,鸿茅,500ml,250ml,spec_column,True,False,False,1,298.0,298.0,298.0,1.0,0.0,,False,False,,False,False,True,True,规格识别风险：规格列=250ml，标题规格=500ml
鸿茅 500ml 药酒 热卖爆款,500ml,360,淘宝,3月21日,鸿茅 500ml 药酒 热卖爆款,360,淘宝,3月21日,500ml,鸿茅 500ml 药酒,500ml,360.0,淘宝,2026-03-21 00:00:00,False,False,False,False,鸿茅,500ml,500ml,spec_column,False,False,False,8,393.7125,123.0,699.0,0.9143727974092771,0.8240343347639485,180.0,False,False,,False,False,False,False,
鸿茅药酒 500ml 限时秒杀,500ml,现价270.7元,天猫,2026/3/22 10:30,鸿茅药酒 500ml 限时秒杀,现价270.7元,天猫,2026/3/22 10:30,500ml,鸿茅药酒 500ml,500ml,270.7,淘宝,2026-03-22 10:30:00,False,False,False,False,鸿茅,500ml,500ml,spec_column,False,False,False,8,393.7125,123.0,699.0,0.6875575451630314,0.8240343347639485,180.0,False,True,stat_rule,True,False,False,True,疑似异常低价：当前价格低于同品牌同规格均价，均价=393.71，当前/均价=0.69
[鸿茅]鸿茅药酒 500ml 1盒装 正品保障,500ml,券后123元,TB,2026/3/23 9:15,[鸿茅]鸿茅药酒 500ml 1盒装 正品保障,券后123元,TB,2026/3/23 9:15,500ml,[鸿茅]鸿茅药酒 500ml 1盒装,500ml,123.0,淘宝,2026-03-23 09:15:00,False,False,False,False,鸿茅,500ml,500ml,spec_column,False,False,False,8,393.7125,123.0,699.0,0.31241070578150304,0.8240343347639485,180.0,True,True,both,True,True,False,True,疑似异常低价：同时命中显式阈值与统计规则，阈值<180.00，均价=393.71，当前/均价=0.31；跨平台价差过大：最低价=123.00，最高价=699.00，价差比例=0.82
鸿茅药酒 500 ML 官方旗舰店,500ml,,拼多多,2026/3/24,鸿茅药酒 500 ML 官方旗舰店,,拼多多,2026/3/24,500ml,鸿茅药酒 500 ML,500ml,,拼多多,2026-03-24 00:00:00,True,False,False,False,鸿茅,500ml,500ml,spec_column,False,False,False,8,393.7125,123.0,699.0,,0.8240343347639485,180.0,False,False,,False,False,False,False,
鸿茅药酒500毫升 祛风除湿 补气通络,500ml,￥699.00,PDD,2026年3月25日,鸿茅药酒500毫升 祛风除湿 补气通络,￥699.00,PDD,2026年3月25日,500ml,鸿茅药酒500毫升 祛风除湿 补气通络,500ml,699.0,拼多多,2026-03-25 00:00:00,False,False,False,False,鸿茅,500ml,500ml,spec_column,False,False,False,8,393.7125,123.0,699.0,1.7754071816363464,0.8240343347639485,180.0,False,False,,False,False,False,False,
鸿茅药酒 500ml 到手价26.9元 正品保障,500ml,650,拼夕夕,3月26日,鸿茅药酒 500ml 到手价26.9元 正品保障,650,拼夕夕,3月26日,500ml,鸿茅药酒 500ml 到手价26.9元,500ml,650.0,拼多多,2026-03-26 00:00:00,False,False,False,False,鸿茅,500ml,500ml,spec_column,False,False,False,8,393.7125,123.0,699.0,1.6509508842111948,0.8240343347639485,180.0,False,False,,False,False,False,False,
鸿茅药酒 500ml 限时秒杀,500ml,售价399元,抖音,2026/3/27 18:20,鸿茅药酒 500ml 限时秒杀,售价399元,抖音,2026/3/27 18:20,500ml,鸿茅药酒 500ml,500ml,399.0,抖音,2026-03-27 18:20:00,False,False,False,False,鸿茅,500ml,500ml,spec_column,False,False,False,8,393.7125,123.0,699.0,1.0134298504619488,0.8240343347639485,180.0,False,False,,False,False,False,False,
东阿阿胶 复方阿胶浆 20ml*12支,20ml*12支,46.4元,京东,2026/3/18,东阿阿胶 复方阿胶浆 20ml*12支,46.4元,京东,2026/3/18,20ml*12支,东阿阿胶 复方阿胶浆 20ml*12支,20ml*12支,46.4,京东,2026-03-18 00:00:00,False,False,False,False,东阿阿胶,20ml*12支,20ml*12支,spec_column,False,False,False,9,42.205555555555556,30.6,46.4,1.0993813347373964,0.3405172413793103,,False,False,,False,False,False,False,
[东阿阿胶]复方阿胶浆 20ml×12支 官方旗舰店,20ml*12支,￥45.45,京东自营,2026/3/19,[东阿阿胶]复方阿胶浆 20ml×12支 官方旗舰店,￥45.45,京东自营,2026/3/19,20ml*12支,[东阿阿胶]复方阿胶浆 20ml×12支,20ml*12支,45.45,京东,2026-03-19 00:00:00,False,False,False,False,东阿阿胶,20ml*12支,20ml*12支,spec_column,False,False,False,9,42.205555555555556,30.6,46.4,1.0768724496511781,0.3405172413793103,,False,False,,False,False,False,False,
东阿阿胶复方阿胶浆 20ml*12支 买1送1,20ml*12支,到手价45.0元,JD,2026年3月20日,东阿阿胶复方阿胶浆 20ml*12支 买1送1,到手价45.0元,JD,2026年3月20日,20ml*12支,东阿阿胶复方阿胶浆 20ml*12支,20ml*12支,45.0,京东,2026-03-20 00:00:00,False,False,False,False,东阿阿胶,20ml*12支,20ml*12支,spec_column,False,False,False,9,42.205555555555556,30.6,46.4,1.0662103461892853,0.3405172413793103,,False,False,,False,False,False,False,
东阿阿胶 复方阿胶浆 12支装,20ml*12支,44.1,,3月21日,东阿阿胶 复方阿胶浆 12支装,44.1,,3月21日,20ml*12支,东阿阿胶 复方阿胶浆 12支装,20ml*12支,44.1,未知平台,2026-03-21 00:00:00,False,False,True,False,东阿阿胶,12支装,20ml*12支,spec_column,False,False,False,9,42.205555555555556,30.6,46.4,1.0448861392654996,0.3405172413793103,,False,False,,False,False,False,False,
东阿阿胶 复方阿胶浆 20毫升*12支,20ml*12支,现价45.9元,天猫,2026/3/22 10:30,东阿阿胶 复方阿胶浆 20毫升*12支,现价45.9元,天猫,2026/3/22 10:30,20ml*12支,东阿阿胶 复方阿胶浆 20毫升*12支,20ml*12支,45.9,淘宝,2026-03-22 10:30:00,False,False,False,False,东阿阿胶,20ml*12支,20ml*12支,spec_column,False,False,False,9,42.205555555555556,30.6,46.4,1.087534553113071,0.3405172413793103,,False,False,,False,False,False,False,
东阿阿胶 复方阿胶浆 20ml*12支,20ml*12支,券后43.6元,TB,2026/3/23 9:15,东阿阿胶 复方阿胶浆 20ml*12支,券后43.6元,TB,2026/3/23 9:15,20ml*12支,东阿阿胶 复方阿胶浆 20ml*12支,20ml*12支,43.6,淘宝,2026-03-23 09:15:00,False,False,False,False,东阿阿胶,20ml*12支,20ml*12支,spec_column,False,False,False,9,42.205555555555556,30.6,46.4,1.0330393576411743,0.3405172413793103,,False,False,,False,False,False,False,
[东阿阿胶]复方阿胶浆 20ml×12支 官方旗舰店,20ml*12支,,拼多多,2026/3/24,[东阿阿胶]复方阿胶浆 20ml×12支 官方旗舰店,,拼多多,2026/3/24,20ml*12支,[东阿阿胶]复方阿胶浆 20ml×12支,20ml*12支,,拼多多,2026-03-24 00:00:00,True,False,False,False,东阿阿胶,20ml*12支,20ml*12支,spec_column,False,False,False,9,42.205555555555556,30.6,46.4,,0.3405172413793103,,False,False,,False,False,False,False,
东阿阿胶复方阿胶浆 20ml*12支 买1送1,20 ML * 12支,￥30.60,PDD,2026年3月25日,东阿阿胶复方阿胶浆 20ml*12支 买1送1,￥30.60,PDD,2026年3月25日,20 ML * 12支,东阿阿胶复方阿胶浆 20ml*12支,20ml*12支,30.6,拼多多,2026-03-25 00:00:00,False,False,False,False,东阿阿胶,20ml*12支,20ml*12支,spec_column,False,False,False,9,42.205555555555556,30.6,46.4,0.725023035408714,0.3405172413793103,,False,True,stat_rule,True,True,False,True,疑似异常低价：当前价格低于同品牌同规格均价，均价=42.21，当前/均价=0.73；跨平台价差过大：最低价=30.60，最高价=46.40，价差比例=0.34
东阿阿胶 复方阿胶浆 12支装,20ml*12支,33.8,拼夕夕,3月26日,东阿阿胶 复方阿胶浆 12支装,33.8,拼夕夕,3月26日,20ml*12支,东阿阿胶 复方阿胶浆 12支装,20ml*12支,33.8,拼多多,2026-03-26 00:00:00,False,False,False,False,东阿阿胶,12支装,20ml*12支,spec_column,False,False,False,9,42.205555555555556,30.6,46.4,0.8008424378043965,0.3405172413793103,,False,False,,False,False,False,False,
东阿阿胶 复方阿胶浆 20毫升*12支,20ml*12支,售价45.0元,抖音,2026/3/27 18:20,东阿阿胶 复方阿胶浆 20毫升*12支,售价45.0元,抖音,2026/3/27 18:20,20ml*12支,东阿阿胶 复方阿胶浆 20毫升*12支,20ml*12支,45.0,抖音,2026-03-27 18:20:00,False,False,False,False,东阿阿胶,20ml*12支,20ml*12支,spec_column,False,False,False,9,42.205555555555556,30.6,46.4,1.0662103461892853,0.3405172413793103,,False,False,,False,False,False,False,
广誉远 定坤丹 6丸/盒,6丸/盒,60.8元,京东,2026/3/18,广誉远 定坤丹 6丸/盒,60.8元,京东,2026/3/18,6丸/盒,广誉远 定坤丹 6丸/盒,6丸/盒,60.8,京东,2026-03-18 00:00:00,False,False,False,False,广誉远,6丸/盒,6丸/盒,spec_column,False,False,False,10,53.783,39.9,60.8,1.1304687354740344,0.34375,,False,False,,False,False,False,False,
[广誉远]定坤丹 6丸/盒 官方旗舰店,6丸/盒,￥59.59,京东自营,2026/3/19,[广誉远]定坤丹 6丸/盒 官方旗舰店,￥59.59,京东自营,2026/3/19,6丸/盒,[广誉远]定坤丹 6丸/盒,6丸/盒,59.59,京东,2026-03-19 00:00:00,False,False,False,False,广誉远,6丸/盒,6丸/盒,spec_column,False,False,False,10,53.783,39.9,60.8,1.107970920179239,0.34375,,False,False,,False,False,False,False,
广誉远定坤丹 六丸装 正品保障,6丸/盒,到手价59.0元,JD,2026年3月20日,广誉远定坤丹 六丸装 正品保障,到手价59.0元,JD,2026年3月20日,6丸/盒,广誉远定坤丹 六丸装,6丸/盒,59.0,京东,2026-03-20 00:00:00,False,False,False,False,广誉远,6丸装,6丸/盒,spec_column,False,False,False,10,53.783,39.9,60.8,1.0970009110685532,0.34375,,False,False,,False,False,False,False,
广誉远 定坤丹 6丸/盒 限时秒杀,6丸/盒,57.82,淘宝,3月21日,广誉远 定坤丹 6丸/盒 限时秒杀,57.82,淘宝,3月21日,6丸/盒,广誉远 定坤丹 6丸/盒,6丸/盒,57.82,淘宝,2026-03-21 00:00:00,False,False,False,False,广誉远,6丸/盒,6丸/盒,spec_column,False,False,False,10,53.783,39.9,60.8,1.075060892847182,0.34375,,False,False,,False,False,False,False,
广誉远 定坤丹 6丸盒装,6丸/盒,现价60.2元,天猫,2026/3/22 10:30,广誉远 定坤丹 6丸盒装,现价60.2元,天猫,2026/3/22 10:30,6丸/盒,广誉远 定坤丹 6丸盒装,6丸/盒,60.2,淘宝,2026-03-22 10:30:00,False,False,False,False,广誉远,,6丸/盒,spec_column,False,False,False,10,53.783,39.9,60.8,1.1193127940055407,0.34375,,False,False,,False,False,False,False,
广誉远 定坤丹 6丸/盒,6丸/盒,券后57.2元,TB,2026/3/23 9:15,广誉远 定坤丹 6丸/盒,券后57.2元,TB,2026/3/23 9:15,6丸/盒,广誉远 定坤丹 6丸/盒,6丸/盒,57.2,淘宝,2026-03-23 09:15:00,False,False,False,False,广誉远,6丸/盒,6丸/盒,spec_column,False,False,False,10,53.783,39.9,60.8,1.063533086663072,0.34375,,False,False,,False,False,False,False,
广誉远 定坤丹 6丸/盒 到手价39.9元,6丸/盒,,拼多多,2026/3/24,广誉远 定坤丹 6丸/盒 到手价39.9元,,拼多多,2026/3/24,6丸/盒,广誉远 定坤丹 6丸/盒 到手价39.9元,6丸/盒,39.9,拼多多,2026-03-24 00:00:00,False,False,False,False,广誉远,6丸/盒,6丸/盒,spec_column,False,False,False,10,53.783,39.9,60.8,0.7418701076548351,0.34375,,False,True,stat_rule,True,True,False,True,疑似异常低价：当前价格低于同品牌同规格均价，均价=53.78，当前/均价=0.74；跨平台价差过大：最低价=39.90，最高价=60.80，价差比例=0.34
广誉远定坤丹 六丸装 正品保障,6丸/盒,￥40.12,PDD,2026年3月25日,广誉远定坤丹 六丸装 正品保障,￥40.12,PDD,2026年3月25日,6丸/盒,广誉远定坤丹 六丸装,6丸/盒,40.12,拼多多,2026-03-25 00:00:00,False,False,False,False,广誉远,6丸装,6丸/盒,spec_column,False,False,False,10,53.783,39.9,60.8,0.7459606195266162,0.34375,,False,True,stat_rule,True,False,False,True,疑似异常低价：当前价格低于同品牌同规格均价，均价=53.78，当前/均价=0.75
广誉远 定坤丹 6丸/盒 限时秒杀,6丸/盒,44.2,拼夕夕,3月26日,广誉远 定坤丹 6丸/盒 限时秒杀,44.2,拼夕夕,3月26日,6丸/盒,广誉远 定坤丹 6丸/盒,6丸/盒,44.2,拼多多,2026-03-26 00:00:00,False,False,False,False,广誉远,6丸/盒,6丸/盒,spec_column,False,False,False,10,53.783,39.9,60.8,0.8218210215123738,0.34375,,False,False,,False,False,False,False,
广誉远 定坤丹 6丸盒装,6丸/盒,售价59.0元,抖音,2026/3/27 18:20,广誉远 定坤丹 6丸盒装,售价59.0元,抖音,2026/3/27 18:20,6丸/盒,广誉远 定坤丹 6丸盒装,6丸/盒,59.0,抖音,2026-03-27 18:20:00,False,False,False,False,广誉远,,6丸/盒,spec_column,False,False,False,10,53.783,39.9,60.8,1.0970009110685532,0.34375,,False,False,,False,False,False,False,
九芝堂 驴胶补血颗粒 30袋/盒,30袋/盒,33.0元,京东,2026/3/18,九芝堂 驴胶补血颗粒 30袋/盒,33.0元,京东,2026/3/18,30袋/盒,九芝堂 驴胶补血颗粒 30袋/盒,30袋/盒,33.0,京东,2026-03-18 00:00:00,False,False,False,False,九芝堂,30袋/盒,30袋/盒,spec_column,False,False,False,9,30.004444444444445,21.76,33.0,1.0998370611761221,0.3406060606060606,,False,False,,False,False,False,False,
[九芝堂]驴胶补血颗粒 30袋/盒 官方旗舰店,30袋/盒,￥32.32,京东自营,2026/3/19,[九芝堂]驴胶补血颗粒 30袋/盒 官方旗舰店,￥32.32,京东自营,2026/3/19,30袋/盒,[九芝堂]驴胶补血颗粒 30袋/盒,30袋/盒,32.32,京东,2026-03-19 00:00:00,False,False,False,False,九芝堂,30袋/盒,30袋/盒,spec_column,False,False,False,9,30.004444444444445,21.76,33.0,1.0771737520367353,0.3406060606060606,,False,False,,False,False,False,False,
九芝堂 驴胶补血颗粒 三十袋装,30袋/盒,到手价32.0元,JD,2026年3月20日,九芝堂 驴胶补血颗粒 三十袋装,到手价32.0元,JD,2026年3月20日,30袋/盒,九芝堂 驴胶补血颗粒 三十袋装,30袋/盒,32.0,京东,2026-03-20 00:00:00,False,False,False,False,九芝堂,30袋装,30袋/盒,spec_column,False,False,False,9,30.004444444444445,21.76,33.0,1.0665086653829061,0.3406060606060606,,False,False,,False,False,False,False,
九芝堂驴胶补血颗粒 30袋/盒 热卖爆款,30袋/盒,31.36,淘宝,3月21日,九芝堂驴胶补血颗粒 30袋/盒 热卖爆款,31.36,淘宝,3月21日,30袋/盒,九芝堂驴胶补血颗粒 30袋/盒,30袋/盒,31.36,淘宝,2026-03-21 00:00:00,False,False,False,False,九芝堂,30袋/盒,30袋/盒,spec_column,False,False,False,9,30.004444444444445,21.76,33.0,1.045178492075248,0.3406060606060606,,False,False,,False,False,False,False,
九芝堂 驴胶补血颗粒 30 袋 / 盒,30袋/盒,现价32.6元,天猫,2026/3/22 10:30,九芝堂 驴胶补血颗粒 30 袋 / 盒,现价32.6元,天猫,2026/3/22 10:30,30袋/盒,九芝堂 驴胶补血颗粒 30 袋 / 盒,30袋/盒,32.6,淘宝,2026-03-22 10:30:00,False,False,False,False,九芝堂,30袋/盒,30袋/盒,spec_column,False,False,False,9,30.004444444444445,21.76,33.0,1.0865057028588359,0.3406060606060606,,False,False,,False,False,False,False,
九芝堂 驴胶补血颗粒 30袋/盒,30袋/盒,券后31.0元,TB,2026/3/23 9:15,九芝堂 驴胶补血颗粒 30袋/盒,券后31.0元,TB,2026/3/23 9:15,30袋/盒,九芝堂 驴胶补血颗粒 30袋/盒,30袋/盒,31.0,淘宝,2026-03-23 09:15:00,False,False,False,False,九芝堂,30袋/盒,30袋/盒,spec_column,False,False,False,9,30.004444444444445,21.76,33.0,1.0331802695896903,0.3406060606060606,,False,False,,False,False,False,False,
[九芝堂]驴胶补血颗粒 30袋/盒 官方旗舰店,30袋/盒,,拼多多,2026/3/24,[九芝堂]驴胶补血颗粒 30袋/盒 官方旗舰店,,拼多多,2026/3/24,30袋/盒,[九芝堂]驴胶补血颗粒 30袋/盒,30袋/盒,,拼多多,2026-03-24 00:00:00,True,False,False,False,九芝堂,30袋/盒,30袋/盒,spec_column,False,False,False,9,30.004444444444445,21.76,33.0,,0.3406060606060606,,False,False,,False,False,False,False,
九芝堂 驴胶补血颗粒 三十袋装,30袋/盒,￥21.76,PDD,2026年3月25日,九芝堂 驴胶补血颗粒 三十袋装,￥21.76,PDD,2026年3月25日,30袋/盒,九芝堂 驴胶补血颗粒 三十袋装,30袋/盒,21.76,拼多多,2026-03-25 00:00:00,False,False,False,False,九芝堂,30袋装,30袋/盒,spec_column,False,False,False,9,30.004444444444445,21.76,33.0,0.7252258924603763,0.3406060606060606,,False,True,stat_rule,True,True,False,True,疑似异常低价：当前价格低于同品牌同规格均价，均价=30.00，当前/均价=0.73；跨平台价差过大：最低价=21.76，最高价=33.00，价差比例=0.34
九芝堂驴胶补血颗粒 30袋/盒 热卖爆款,30 袋 / 盒,24,拼夕夕,3月26日,九芝堂驴胶补血颗粒 30袋/盒 热卖爆款,24,拼夕夕,3月26日,30 袋 / 盒,九芝堂驴胶补血颗粒 30袋/盒,30袋/盒,24.0,拼多多,2026-03-26 00:00:00,False,False,False,False,九芝堂,30袋/盒,30袋/盒,spec_column,False,False,False,9,30.004444444444445,21.76,33.0,0.7998814990371796,0.3406060606060606,,False,True,stat_rule,True,False,False,True,疑似异常低价：当前价格低于同品牌同规格均价，均价=30.00，当前/均价=0.80
九芝堂 驴胶补血颗粒 30 袋 / 盒,30袋/盒,售价32.0元,抖音,2026/3/27 18:20,九芝堂 驴胶补血颗粒 30 袋 / 盒,售价32.0元,抖音,2026/3/27 18:20,30袋/盒,九芝堂 驴胶补血颗粒 30 袋 / 盒,30袋/盒,32.0,抖音,2026-03-27 18:20:00,False,False,False,False,九芝堂,30袋/盒,30袋/盒,spec_column,False,False,False,9,30.004444444444445,21.76,33.0,1.0665086653829061,0.3406060606060606,,False,False,,False,False,False,False,
